Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1455208578.89732,0,1455208578,897319936,,0.577581,1.375045,-1.1015270000000001,0.078057,0.027305,0.130295,-0.9880209999999999
1455208578.9098198,0,1455208578,909819935,,0.578972,1.379946,-1.0908129999999998,0.087805,0.027027,0.137981,-0.986165
1455208578.92232,0,1455208578,922319936,,0.5801970000000001,1.384012,-1.079862,0.086238,0.027089,0.132712,-0.987024
1455208578.93482,0,1455208578,934819936,,0.581918,1.3872959999999999,-1.069549,0.070492,0.027025,0.11603499999999999,-0.9903719999999999
1455208578.94732,0,1455208578,947319935,,0.582654,1.392283,-1.0583069999999999,0.086765,0.025485,0.135958,-0.9865790000000001
1455208578.95982,0,1455208578,959819936,,0.5839300000000001,1.396151,-1.04739,0.082197,0.022532,0.130801,-0.9877379999999999
1455208578.9723198,0,1455208578,972319935,,0.584987,1.400407,-1.036646,0.085671,0.025796,0.13380899999999998,-0.9869600000000001
1455208578.98482,0,1455208578,984819936,,0.58628,1.404295,-1.025758,0.080525,0.025963,0.126746,-0.9883200000000001
1455208578.99732,0,1455208578,997319936,,0.587404,1.4084379999999999,-1.0151270000000001,0.08139600000000001,0.025668,0.12493199999999999,-0.9884879999999999
1455208579.00982,0,1455208579,9819935,,0.588377,1.412726,-1.0044389999999999,0.086203,0.024671000000000002,0.135215,-0.986751
1455208579.02232,0,1455208579,22319936,,0.5898329999999999,1.4172040000000001,-0.994067,0.093057,0.025822,0.13538699999999998,-0.986075
1455208579.0348198,0,1455208579,34819935,,0.590512,1.420366,-0.984733,0.07574600000000001,0.036601999999999996,0.123695,-0.988748
1455208579.04732,0,1455208579,47319936,,0.5916859999999999,1.424352,-0.9725790000000001,0.08376,0.024144,0.12845399999999998,-0.987877
1455208579.05982,0,1455208579,59819936,,0.5929399999999999,1.4283700000000001,-0.9618270000000001,0.087409,0.025979000000000002,0.12226400000000001,-0.9883
1455208579.07232,0,1455208579,72319935,,0.593651,1.4317030000000002,-0.951262,0.083939,0.026423000000000002,0.12578499999999998,-0.9881469999999999
